id,sku,modelno,price,time
Romex-100-ft-10-2-solid-SIMpull-NM-B-Cable-28829028,202316241,28829028,88.97,2017-02-03T16:47:13Z
Cerrowire-100-ft-10-2-NM-B-Wire-Orange-147-1802CR,202206566,147-1802CR,88.97,2017-02-03T17:29:24Z
Southwire-50-ft-8-3-Black-Stranded-CU-SIMpull-NM-B-Wire-63949232,204765155,63949232,97.47,2017-02-03T17:29:25Z
Southwire-500-ft-12-Green-Stranded-THHN-Wire-22968258,203401700,22968258,50.97,2017-02-03T17:29:26Z
Romex-50-ft-10-2-Solid-SIMpull-NM-B-Wire-28829022,202316205,28829022,51.97,2017-02-03T17:29:27Z
Southwire-500-ft-10-Black-Stranded-CU-THHN-Wire-22973257,202316335,22973257,75.47,2017-02-03T17:29:28Z
Southwire-500-ft-12-White-Solid-THHN-Wire-11588158,203401606,11588158,45.57,2017-02-03T17:29:30Z
Cerrowire-50-ft-14-3-NM-B-Wire-White-147-1403BR,202206556,147-1403BR,29.97,2017-02-03T17:29:30Z
Romex-50-ft-14-3-Solid-SIMpull-NM-B-Wire-63946822,202316552,63946822,29.97,2017-02-03T17:29:31Z
Romex-50-ft-12-3-Yellow-Solid-SIMpull-NM-B-Wire-63947622,202316449,63947622,51.74,2017-02-03T17:29:33Z
Southwire-500-ft-12-Black-Solid-THHN-Wire-11587358,203401604,11587358,45.57,2017-02-03T17:29:33Z
Romex-100-ft-12-3-Yellow-Solid-SIMpull-NM-B-Wire-63947628,202316450,63947628,81.97,2017-02-03T17:29:34Z
Romex-100-ft-14-3-Solid-CU-SIMpull-NM-B-Wire-63946828,202316553,63946828,47.37,2017-02-03T17:29:35Z
Southwire-500-ft-12-Red-Stranded-THHN-Wire-22966658,203401699,22966658,50.97,2017-02-03T17:29:36Z
Southwire-500-ft-8-Black-Stranded-CU-THHN-Wire-20488312,202316337,20488312,128.0,2017-02-03T17:29:39Z
Romex-15-ft-12-2-Soild-SIMpull-NM-B-Wire-28828226,202210508,28828226,10.47,2017-02-03T17:29:40Z
Southwire-500-ft-10-Green-Stranded-CU-THHN-Wire-22977357,202316481,22977357,75.47,2017-02-03T17:29:41Z
Cerrowire-500-ft-10-1-Green-Stranded-THHN-Wire-112-3875J,202304725,112-3875J,75.47,2017-02-03T17:29:42Z
Romex-15-ft-14-2-Soild-SIMpull-NM-B-Cable-28827426,202210510,28827426,6.77,2017-02-03T17:29:43Z
Southwire-500-ft-10-White-Stranded-CU-THHN-Wire-22974057,202316336,22974057,75.47,2017-02-03T17:29:44Z
Southwire-500-ft-12-Green-Solid-THHN-Wire-11591558,203401610,11591558,45.57,2017-02-03T17:29:44Z
Cerrowire-500-ft-10-Gauge-Red-Stranded-THHN-Wire-112-3873J,202304724,112-3873J,75.47,2017-02-03T17:29:46Z
Southwire-500-ft-10-Red-Stranded-CU-THHN-Wire-22975757,202316480,22975757,75.47,2017-02-03T17:29:47Z
Southwire-25-ft-10-3-Solid-NM-B-Wire-63948421,202316238,63948421,37.97,2017-02-03T17:29:48Z
Cerrowire-25-ft-10-3-NM-B-Wire-Orange-147-1803AR,202206567,147-1803AR,37.97,2017-02-03T17:29:49Z
Southwire-500-ft-2-Black-Stranded-THHN-Wire-20502101,202316586,20502101,503.0,2017-02-03T17:29:50Z
Southwire-500-ft-12-Red-Solid-THHN-Wire-11589958,203401608,11589958,45.57,2017-02-03T17:29:51Z
Romex-25-ft-14-3-Solid-SIMpull-NM-B-Wire-63946821,202316551,63946821,15.87,2017-02-03T17:29:51Z
Cerrowire-25-ft-14-3-NM-B-Wire-147-1403AR,202304750,147-1403AR,15.87,2017-02-03T17:29:52Z
Romex-25-ft-10-2-Solid-SIMpull-NM-B-Wire-28829021,202316203,28829021,27.57,2017-02-03T17:29:53Z
Romex-25-ft-12-3-Yellow-Solid-SIMpull-NM-B-Wire-63947621,202316448,63947621,27.37,2017-02-03T17:29:54Z
Cerrowire-25-ft-12-3-NM-B-Wire-Yellow-147-1603AR,202206561,147-1603AR,27.37,2017-02-03T17:29:56Z
Southwire-500-ft-4-Black-Stranded-THHN-Wire-20499001,202316585,20499001,324.0,2017-02-03T17:29:57Z
